site,job_url,job_url_direct,title,company,location,job_type,date_posted,description
linkedin,https://www.linkedin.com/jobs/view/3856752104,,Software Engineer,Let's Do This,"London, England, UK",,2024-03-14,"We’re looking for an experienced Software Engineer to join our team developing innovative, customer-facing applications. We aim to build solutions that enable our clients to answer their business questions through new kinds of analysis. We have a pretty even split of back-end (Python) and front-end (React) work. The successful candidate will contribute to our developments as we aim to deliver smarter, more efficient and more reliable systems.Why join Mintel? We are the world's leading market intelligence agency and technology underpins our success. We help our clients understand consumers and consumer markets, and we aspire to provide the market intelligence behind every great business decision. Our technology allows us to deliver data, insights, and opinions in a compelling way to our clients across the globe.Mintel is committed to building and supporting a diverse workforce, providing opportunities for all. 26% of our Engineering team and 23% of our Engineering leaders are women. We are proud to be a signatory of Tech Talent Charter, highlighting our goal of improving diversity within our team and supporting industry-wide improvement. We offer flexible working options and provide support, development and growth opportunities.We support a Hybrid working approach. Most of our colleagues work one or two days a week in our London office and the rest of the week remotely.What You Will Do:Collaborate in a dynamic Agile team, working closely with business stakeholders to understand needs and deliver solutions.Contribute to the team’s sprint goals, solving technical challenges both independently and through pair programming with your colleagues, while also collaborating with Engineers and Architects from other teams from time to time.Help your team to deliver high quality, reliable software via our code review and QA practices and contribute to the evolution of these over time.Make your voice heard when we’re discussing implementation trade-offs within the team or technical solution possibilities with our stakeholders.What We Are Looking For:Applicants who are keen to contribute to both new feature development and system reliability and performance improvements.Individuals who have real world software development experience gathered as part of a development team.Developers who are confident with back-end development. For example - Python with Fast API or Django.Developers who are confident with front-end development. For example Javascript with React or Angular.Quick learners who can adapt to new domains and technologies, continuously enhancing their skillset.What you'll get in return: A culture that supports true collaboration whilst embracing remote working with a company wide hybrid working week.Approach to personal development where we encourage individuals to grow and share what they’ve learned.Social events, both within the department and across the companyGenerous holiday allowance with the opportunity to buy back additional holiday.A day off to celebrate your birthdayGiving back is part of our culture with this in mind Mintel gives each employee 2 days per year to give to a worthwhile cause.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3756226552,,Software Engineer,Paragon Alpha - Hedge Fund Talent Business,"Greater London, England, UK",,2024-03-14,"A leading Global International blue chip Hedge Fund with $40Bln+ AUM is now currently looking to hire a talented C++ Developer to join their growing Systematic Equities team. ResponsibilitiesDevelop software engineering solutions for quantitative research and trading Producing efficient and elegant code based on requirements.Collaborate with the Senior Portfolio Manager and other investment professionals.Testing and deploying programs and applications.Troubleshooting, debugging, maintaining and improving existing software.Build and maintain robust data pipelines and databases that ingest large amounts of data every day, while developing processes that validate the integrity of the data.QualificationsStrong development experience with C++.Bachelor's degree or equivalent experience in Computer Science or related field.Experience working with Equity traded products.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3855534376,,"Software Engineer, Google Play",Google,"London, England, UK",,2024-03-14,"Paragon Alpha are collaborating with one of the worlds most successful multi-strat funds, who have synergized technology and trading to maximize their returns and create an excellent culture for engineers.They are looking for Java Engineer to join their OMS team, which is in a greenfield build out in Java, with the firm previously using C#. The team need an engineer to come on board to help scale and augment their execution platform, which is built with low latency and fault tolerant components.Stack: Java, Multithreading, SQL, C++Essentially the team need an excellent Java Engineer with expertise in the OMS/EMS field, and who is comfortable building low-latency applications and liaising with business teams to add bespoke features.The firm offers greenfield work coupled with a high performing team. While in tandem offering market-leading salaries with a hybrid work model.If this sounds of interest, please do apply!



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3833952768,,Web Developer,The Profs,"Greater London, England, UK",,2024-03-14,"🌍 Location: Remote/Old Street, London💷 Salary: £70,000 - £85,000 a year🕝 Hours: 40 hrs/week, 7am – 7pm core hours (you can work flexibly within these)🏢 Department: Tech📈 Experience level: Mid-SeniorTotallyMoney is the free personal finance app that gives people the plans, products and help they need to unlock a life of more choices. It’s all about creating a fairer financial world where people who’ve been left behind can make their financial data work for them. Put simply, we help them move closer towards their financial goals.We’re a diverse bunch from different backgrounds, united by a company culture that promotes autonomy, collaboration, and innovation. We’ve even been voted one of the UK’s Best Companies to Work For.Our technology underpins some of the UK’s most forward-thinking financial brands, and our team is growing.You’ll be given real problems and the right tools to solve them. You’ll own your work and be accountable for decisions. You’ll be exposed to our range of technology and won’t be pigeonholed. You’ll deliver innovative, quality, cloud-native software on AWS.If you want to join our mission to help the UK’s most under-served consumers — we want to hear from you!What You’ll Do:You’ll be on a small team focused on building systems that power our app with credit reports, open banking data, and insights derived from those.You’ll be given a great deal of autonomy. Tasks are loosely specified by a product manager, and you’ll collaborate with colleagues and other teams to decide how to best build working solutions. On the flip side you’ll need to own what you create, and be responsible for ensuring our systems run smoothly.There are no dev-ops at TotallyMoney, instead engineers each take responsibility for the tools and steps needed to put software into production and making sure it continues to work once it’s there. You won’t be alone in this though. We work closely together, talking through different ideas and approaches, having regular team and guild meetings, and supporting each other.RequirementsWe’re looking for a F# backend engineer to help our customers make smarter financial decisions.Our Tech Principles:We hold some principles that guide our path to excellence:We believe in continuous integration and automated testsWe believe in serverless technology and infrastructure-as-codeWe believe in that if you build it you run itWe believe in the 12-Factor App methodologyWe believe in functional programming and immutabilityWe believe in experimentation and learning from failureWe believe in sharing knowledge through pairing and pull requests We believe in whiteboarding, #noestimates and great coffeeOur Stack:Our backend is written in a combination of F# and TypeScript, with some legacy C# portions. We also boast services written in Elm and Rust. Our most popular editors are Jetbrains Rider and VS Code but you're welcome to bring your own! We even have a few committed Vim users. We use macs for all our development work, and our workflows are all command-line driven.We’ve increased productivity by using the Serverless Framework. We like to experiment with test frameworks and currently enjoy Cypress, Jest & Expecto. We are across CircleCI, GitHub Actions & Jenkins for continuous integration.Our stack is highly distributed and hosted in AWS. As such, we’re big users of Lambda, ECS, SQS, SNS, Event Bridge, Kinesis & DynamoDB. We use CloudWatch & Loggly to trace application behaviour and business metrics. It sounds like we have everything covered; but there’s plenty more to build, measure & learn. Which is why we need you!What we are looking for:You’re aligned with our principlesYou solve problems and take ownershipYou’re a clear communicator and an active listenerYou're excited by programming in functional languagesYou know how to outsource your labour to the compilerYou’re curious about technology and a continuous learnerYou challenge assumptions and hold teammates to accountYou like to automate repetitive tasksAbove all, you’re a pragmatistWe know F# isn't the most common programming language, so don't be put off if F# isn't a language you've used professionally. Instead we're looking for people that are delighted by the benefits of programming in functional languages, and have either used one professionally or on personal projects, and would be keen to work in F#.We know people, especially those from marginalised backgrounds, may hesitate to apply if they don’t meet all the requirements. Please apply anyway. We don’t expect you to be the complete package, just show us you have ambition and a willingness to learn.BenefitsWhat you’ll get from us:🏢 Hybrid working — We operate a hybrid policy. 2 days of your choice in our office🕜 Flexible hours — Our core hours are 7 am to 7 pm. Fit your hours within that however you like⛱️ 25 days of annual leave (plus 8 bank holidays), 2 additional free days off at Christmas time, and the option to purchase an extra week off🌅 8 weeks to work abroad — make us jealous of your stunning view🍼 Enhanced carers leave policies so you can spend time with your new bundle of joy💜 2 days leave to volunteer for whatever causes you’re passionate about!😷 Unlimited sick leave so you can take the time you need to get better🩺 Vitality Health Insurance and reward scheme (inc. 50% off Virgin Active gyms), Perkbox membership, wellbeing budgets, and Cycle to Work scheme 🚲🤲 Meeting rooms that also double as prayer/quiet rooms with blinds and prayer mats💹 Auto-enrolment pension scheme with Scottish Widows🧠 Mental health and well-being perks including talking therapies with Self Space🐶 You’ll find a pup or 2 around our dog-friendly office💃 2 annual company socials, plus regular team socials throughout the year🥐 Free breakfast on Thursdays at our company meeting🍫 Snack cupboard filled with goodies, coffee machine, and drinks fridge — help yourself!⚽ Hobby clubs and activities like football, badminton, Catan and book club — you could even start your own!Our commitment to diversity and inclusion:At TotallyMoney, we’re committed to being an inclusive and diverse employer, and welcome applications from all sections of society. We have an active DE&I (Diversity, Equity, and Inclusion) committee led by employees and continually work on our DE&I efforts. We believe everyone has potential, regardless of race, religion or belief, ethnic origin, physical or mental ability, social background, age, nationality, marital, domestic, or civil partnership status, sexual orientation, gender identity, or any other differences that make you, you.
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3842157932,,"JavaScript Engineer - TS, React, Node",Oliver Bernard,"Greater London, England, UK",,2024-03-14,"JavaScript Engineer - TS, React, NodeAn exciting scale up (~250 people) are looking to hire several JavaScript engineers at mid, Senior and Lead levels to join their already strong engineering team (~70 people).They have four main projects, two of which are completely greenfield and they're looking for several engineers at each level to work across them.Ideal candidates have a computer science or related degree, are full-stack and have strong TypeScript, React and Node experience in a commercial setting. You can lean more towards the Frontend or Backend in general but must be happy to work across the stack as required.Benefits and Package:£60-80K salaryMonthly bonuses up to 20% - eligible from day oneCompany equity% of your salary towards L&D25-days annual leave + BHPrivate HealthcareAccess to mental health and finance supportHybrid working (2-days p/week from home, 3-days in the office)You must be UK based, in a commutable distance to London and willing to spend 3-days p/week in the office.Please apply for more info.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3822116210,,Software Engineer,PRODA LTD,"London Area, United Kingdom",,2024-03-14,"RoleJoin our Data Insights Team as a Software Engineer at PRODA, and play a pivotal role in building PRODA’s AI and ML-powered products for the commercial real estate sector. The team works on a variety of projects, including PRODA Assistant, an application that uses generative AI to assist data exploration, analysis, and reporting. Your work will involve integrating large language models and bespoke machine learning models to offer users detailed market insights, reports, and forecasting tools. We encourage candidates of all experience levels to apply, including recent graduates and those with several years of relevant work experience.Multiple positions are available.Key RequirementsThe role is hybrid, requiring on-site presence for 2 days per weekBachelor's or higher degree in Computer Science or relevant STEM disciplineExceptional programming skills and proficiency in Python and JavaScript/TypescriptExcellent problem-solving skills and attention to detailStrong communication and collaboration skillsFamiliarity with PostgreSQL or other SQL databasesInterest in AI and ML technologiesResponsibilitiesDeeply understand client workflows and build tools that they could use to streamline their workDevelop features for streamlined report generation and data visualisation, helping users identify trends and make informed decisions.Design, build, and maintain data pipelines to provide our clients seamless access to their dataCollaborate with data scientists to build and deploy machine learning modelsDeliver end-to-end solutions, learning all aspects of the development processFocus on automation, testing, CI/CD, and developer experience to ensure quick iteration and short feedback loopsWrite simple code that is easily understood by humans and is fast to execute by machinesWhat We OfferOpportunity to learn and grow in a fast-paced, cutting-edge environmentAccess to the latest technology and tools to make you productive, including the latest MacBooks and AI toolingNo prior real estate experience required; we'll teach you what you need to knowA supportive environment with a focus on professional development and growthA culture that values simplicity and efficiency in solving problems and delivering solutionsAbout PRODAAt PRODA (www.proda.ai) we are building software to unlock the full potential of Real Estate Data no matter the asset class, language or country of origin.Our solution leverages the latest technologies to automatically capture, standardise and quality check Real Estate data into a single, clean source of truth. The goal is to empower real estate professionals to quickly gain actionable insights from their data and to enable the effective use of software.Despite being the biggest asset class in the world, the commercial real estate industry relies on excel & PDF “Rent Roll” documents as the primary means of exchanging data. These files are frequently inconsistent, inaccurate, and inaccessible, posing challenges for real estate professionals. Through automated data capture, standardisation, and analysis, PRODA can:Build repositories of clean, standardised dataIncrease process efficiency, through faster report generationImprove data-driven decision making, by ensuring the accuracy of input dataFurthermore, PRODA easily integrates with existing systems, to ensure consistent dataflow through the whole organisation.Founded in 2017 by Charles and Peter, two former Real Estate Finance Investment professionals, PRODA is now 48 people strong, and is looking to expand rapidly following a successful Series A raise in Q2 2022.PRODA has a strong globally recognised client base with an even better sales pipeline. We are looking for you to join us on our exciting journey delivering best-in-class software to the Commercial Real Estate market globally.Working at PRODAAs a rapidly growing SaaS business, life at PRODA is fast-paced and collaborative. Our day-to-day work is solving interesting problems using smart technologies, and we pride ourselves on an environment where we can rapidly develop new skills, learn from each other, and truly see the impact of our work.We believe that our product is transformative, and we work hard to ensure it reaches its potential. Our team is our greatest asset: we are a close-knit group who pull together to achieve our goals, but we also have fun!Further to a strong team environment, working at PRODA offers the following amenities:Flexible Hybrid working options25 days base holidayPrivate offices at workingfrom.thehoxton.com/london-southwark/. 1) Smart common areas + Unlimited drinks, 2) Rooftop bar + Yoga & wellness classes, 3) 32 Blackfriars Road, London, SE1 8PB.Full zero-excess Private Health Insurance. Includes Couple and Family plans & Opticians and Dentist cashbackGenerous Pension Schemes well beyond requirementsIndividual Professional Development Budget + Learning SessionsRegular Social Activities and Events



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3849216485,,Java Engineer - OMS Trading System - Multi-Strat - £300k,Paragon Executive Intelligence,"London Area, United Kingdom",,2024-03-14,"Minimum qualifications:Bachelor’s degree or equivalent practical experience.2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.2 years of experience with data structures or algorithms.Preferred qualifications:Master's degree or PhD in Computer Science or related technical fields.Experience developing accessible technologies.Experience with Security, Kotlin.Experience managing ambiguous problems and working cross-functionally with UX and Product Managers.Interest in Android and user privacy.About The JobGoogle's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.In this role, you will be working as a mobile app developer in the Google Play Protect codebase, which is an Android app written in Java and Kotlin. You will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.The Privacy Sandbox initiative aims to create technologies that both protect people's privacy online and give companies and developers tools to build thriving digital businesses. Our team is dedicated to strengthening the Web and Android platform against tracking and fingerprinting, while also developing new privacy-preserving APIs to support personalization and measurement on the web. We are committed to collaborating with stakeholders in the industry to develop and implement viable, alternative solutions in a way that protects the privacy of users while also ensuring the continued vitality of the web.ResponsibilitiesWork closely with UX designers, product managers, and other engineers (including those in different teams and across time zones, mostly London and MTV). Participate in overall system design, including working with the server team that Google Play Protect client talks to and helping design the overall system flow. Build new Android platform features and be involved in some of the platform development work.Learn about Privacy on Android, and be an advocate for good privacy practise.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3853479589,,"Python Software Engineer- Up to £150,000 + Bonus + Package",Hunter Bond,"Greater London, England, UK",,2024-03-14,"The RoleAt Let’s Do This, our Software Engineers are an integral part of our product development process.We are not a company that believes engineers should be hidden away from decisions, churning out code for features decided from upon high. Instead, our Engineers form strong bonds with cross-functional peers in Product Management, Data Science, Product Design and others to become experts working full stack across vertical slices of the product rather than horizontally along technology lines.As a Software Engineer you’ll get to work with a range of new and emerging technology and tools but also help to evolve what we use in the future. We value engineering knowledge over specific coding languages, thus consider people from many backgrounds, but we are mainly TypeScript focused.Our current tech stack includes:Node, AWS Lambda and Typescript to write our backend (micro)servicesReact and Apollo to create engaging user interfacesMongoDB for most persistent data storage & Amazon EventBridge for our async event busDocker and Amazon ECS to schedule and run our services. RequirementsWhat You'll DoEvery day you’ll be working closely with peers in the wider product org to define the future of the product.Engaging with designers to build and improve the UX of our core products.Working with our data scientists to design, run and verify your work using state of the art experimentation and feature flagging frameworks.Actively contributing to every stage in the product development lifecycle, and owning the development of new features from conception to completion.Shaping the future of our tech platform across the full stack.Working in a small, tight-knit team with a rapid iteration cycle - typically a week. What We Look ForPrior exposure to our stack (JavaScript/TypeScript, React, Node & AWS) is a plus. However, we know the best engineers can pick up new tools quickly and a growth mindset coupled with strong fundamentals is more important than knowledge of specific frameworks or languages.You enjoy building products in cross-discipline teams using an iterative approach, driven by user feedback and data insight and care deeply about providing a great user experience to customers.You’re not afraid of ambiguity and thrive when helping set the direction of the teamYou understand the importance of prioritisation in your work to ensure a good balance between business impact and code quality.You have interests that span the full stack - from building performant web experiences to debugging traffic latency in our AWS stack.About UsLet’s Do This is the online company getting people offline.We exist to inspire people across the world to come together and experience moments that make them feel alive. We’re currently going after mass participation sports events (Marathons, Triathlons, 10Ks, 5Ks, swim races), where we’re proud to be the global leader.We’re at a super exciting and rapid stage of our development. We now take over 1.5 million bookings every year, driving growth for our industry from large-scale races like the UK’s London Marathon Events, Great North Run and San Francisco’s Bay To Breakers to hero races like the Hackney Half, the London Triathlon, or grassroots races like those from RunThrough.We’ve grown exponentially in the UK since our launch in 2017 and are now in the process of expanding within the US market with the same energy our brand represents. We’ve raised $90M to date and were the fastest growing company on YCombinator, and our investors also include Tier 1 VCs NFX, EQT, and legendary individuals Serena Williams and Usain Bolt.How did we do it?With an exceptional team. The Let’s Do This team brings in experience ranging from London’s fastest growing start-ups to the world's biggest tech companies, including Facebook, Google, Deliveroo, King and Skyscanner.We’re passionate about finding fantastic talent to add to an already extraordinary group.Having just been named as one of the Europe’s and the UK’s top 100 startups 2022 by Otta and Top 15 Startups (2021) by Linkedin, it couldn't be a more exciting time to join our team.We want to create an inclusive environment that celebrates the diversity of our people whilst enabling them to do the best work of their careers. We are committed to ensuring that all our people processes are equitable. All applicants will be considered for employment without attention to ethnicity, religion, sexual orientation, gender identity, family or parental status, national origin, veteran, neurodiversity status or disability status.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3857812258,,F# BackEnd Engineer,TotallyMoney,"London, England, UK",,2024-03-14,"Job title: Python Software Engineer- Up to £150,000 + Bonus + PackageClient: Elite Fintech clientExperience Level: 1+ years'Salary: Up to £200,000 + Bonus + PackageLocation: London (hybrid)Sells: Cutting-edge tech, ownership of multiple greenfield projects, no red tape, gold medal Olympiads, highest regarded technologists around, a welcoming/ collaborative environment, fantastic office spacesAn elite Fintech client are searching for Python Developers to join a group of the highest-regarded talent around!This team has an unlimited tech budget, promotes a great culture, and is made up of incredible like-minded individuals.Role· Working on highly scalable, low latency infrastructure· Creating solutions to greenfield projects, with the chance not only to work in Python or React, but gain exposure to a lot more from some of the best developers worldwideSkills/Experience· Strong knowledge of Python or React· Strong Computer Science fundamentals· Demonstrable interest in tech, in the form of personal projects or hackathons is preferred



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3831599187,,Full Stack Software Engineer II,Mintel,"London Area, United Kingdom",,2024-03-14,"Web Developer for Multi Award-Winning Online Tutoring BusinessThe Profs is an award-winning B2C EdTech company that provides online tutoring to tens of thousands of students around the world. We have grown rapidly over the past few years and are looking for an experienced Web Developer to help further scale our website and digital marketing efforts.Role:We are looking for an experienced website developer who has a good eye for design (Adobe Creative Suite) /UX/UI, has a good functional understanding of basic on-site SEO principles, and has experience with Google Analytics and Google Search Console.We are looking for someone who can help both expand the reach and content of our website and optimise our conversion funnels.You will drive the implementation of new website improvements and ideas coming out of our growth team, and support the growth of our website traffic and conversions.You will be supported by and working closely with both our growth, sales and tech team. These consist of PPC and SEO specialists, full stack software developers, content creators and our heads of growth and marketing.Essential Requirements:2+ years of experience.HTML, CSS, Javascript, WordPress, PHPEAPIs (using cURL or cURL in PHP)Git (for version control e.g. BitBucket)Designing and developing new websites.On-site SEO.MySQL queriesStrong grasp of the English language with the ability to articulate clearly and concisely.Highly Desirable Skills:Composer dependencies - Using 3rd party code libraries and expanding features/functions.Templating - Understanding how to create WordPress templates and shortcodes.Google Cloud - Using Google Cloud to create API keys, service accounts and managing Google APIs.JQuery - For site animations and UI features.Adobe Creative Suite (Photoshop)Google Analytics 4, Google Search Console, Google OptimizePreferred Skills:Graduate degree with 2:1 or equivalent.Functional understanding of the UK educational system.Experience in higher education and/or education services would be a bonus.Experience with ReactSoft Skills:Good cultural fit (work hard/play nice/enjoy success).Self-starter/driven.Good communication skills.Good attention to detail.Commercial awareness.Benefits:Competitive salary.Good office culture.Flexible office hours (2 days WFH per week)Be involved in top-level strategic discussions.Company pension plan.Regular company socials.Our Company Culture:The Profs’ perks are a comprehensive package designed to support and enhance the overall work experience of its employees. This includes a variety of benefits, ranging from flexible work arrangements to professional development opportunities.The company also provides opportunities for career advancement through training programmes, mentorship programmes, and workshops.Free gym.Staff professional development programmes.Regular company socials.Apple Macbook (personal use permitted).Dog-friendly working space.Office mini-bar.Expected Start Date: February 2024Salary Range: £40,000-£60,000Application Procedure:Please submit a CV and cover letter explaining why you would be suitable for the role.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3857373527,,Full Stack Engineer,Venchr,"London Area, United Kingdom",,2024-03-14,"Hybrid Climate Tech Role - Full-Stack Software Engineer (Python/React/AWS) - £80k + Generous Equity - Decarbonising Industrial Supply ChainsVenchr is thrilled to announce its collaboration with one of the most innovative and promising Climate-Tech startups in Europe, which has gained support from a top-tier Climate VC. Our mission focuses on impacting the decision-making processes of the globe's major polluters.This analytics platform promises to play a crucial role in the reduction of worldwide emissions.Working closely with our exceptional founders, you will help evolve our MVP into a fully operational platform ready for widespread deployment to our global clientele.In the capacity of our inaugural Founding Engineer, you will assume significant ownership and technical leadership.Your Role and Responsibilities:Transform our initial software concept into a groundbreaking product. In partnership with our CTO, you are to advance our basic model into a secure, dependable software application, primed for enterprise-level application.Address complex technical challenges. Our system must integrate flawlessly with assorted systems concerning taxes, commerce, and sustainability within various European and global enterprises. Your responsibility includes developing the infrastructure necessary for the secure and precise handling of client information, thus playing a key role in guiding our technical direction.Craft solutions for forward-thinking clients. Our goal extends beyond simple compliance; we aim to assemble an extensive database of carbon pricing information to provide our clients with critical insights. This supports them in effectively diminishing the carbon footprint of their supply chains.We are ideally looking for experience demonstrating expertise in Full-Stack development with Python and key components of our tech stack, including React, Django, Docker, Postgres, and AWS. However, other experiences are welcome.Desired Attributes:A deep commitment to tackling climate changeEagerness to lead pioneering projects from inceptionA commitment to product development excellenceA preference for teamwork and face-to-face interactionAdaptability, meticulousness, and resilienceBenefits of Joining Us:A chance to contribute to the story of a venture-backed startup's expansionHybrid working modelA lively Central London office environment with a supportive and dynamic teamInvolvement in impactful work with a real-world effectOpportunities to learn new programming languages and DevOps toolsDirect engagement with clients in developing a valued productAccess to a network within the climate technology and supply chain sustainability fieldsComplimentary meals and drinks at our on-site caféHealth insurance coverageThis is an incredible opportunity to make a real difference - we are offering a salary of up to £80k + a hybrid working model.Venchr is a Trading Name of TGIG Ltd. This email and any files transmitted with it are confidential and intended exclusively for the use of the individual or entity to whom they are addressed. If you have received this email in error please notify the system administrator. If you are not the intended recipient you are advised that disclosing, copying, distributing or taking any action in reliance on the contents of this information is strictly prohibited. WARNING: Although the company has taken reasonable precautions to ensure no viruses are present in this email, the company cannot accept responsibility for any loss or damage arising from the use of this email or attachments. TGIG Ltd, 6 The Runnells, PE19 6AN



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3857531844,,Software Engineer,Vallum Associates,"London Area, United Kingdom",,2024-03-14,"The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code. C#, .Net focused.  You will be responsible for playing a hands-on role in software development throughout the entire Software Development Lifecycle (SDLC). Through mentoring and coaching, the you will also take part in peer reviews, best-practice and helping to drive our products forward along with pursuing our continuous improvement approach.ResponsibilitiesDevelop quality software and web applicationsAnalyze and maintain existing software applicationsDesign highly scalable, testable codeDiscover and fix programming bugsQualificationsBachelor's degree or equivalent experience in Computer Science or related fieldDevelopment experience with programming languages.NetSQL database or relational database skillsMajor Public Cloud Platform, preferably Azure or AWS (2+ years)



        
            Show more
          

          



        
            Show less"
